q-crq|vbz Who's
n1 cause
pp-f of
n1 distemper
? ?
pn22 you
vdb do
, ,
av-j surely
, ,
vvi bar
dt the
n1 door
p-acp upon
po22 your
d own
n1 liberty
, ,
cs if
pn22 you
vvb deny
po22 your
n2 griefs
p-acp to
po22 your
n1 friend
. .
n1 Sir
, ,
pns11 I
vvb lack
n1 advancement
. .
q-crq How
vmb can
d that
vbi be
, ,
c-crq when
pn22 you
vhb have
dt the
n1 voice
pp-f of
dt the
n1 king
px31 himself
p-acp for
po22 your
n1 succession
p-acp in
np1 Denmark
? ?
uh Ay
, ,
n1 sir
, ,
cc-acp but
“ “
cs While
dt the
n1 grass
vvz grows
, ,
” ”
dt the
n1 proverb
vbz is
pi something
j musty
. .
uh O
, ,
dt the
n2 recorders
! !
vvb let
pno11 me
vvi see
pi one
. .
pc-acp To
vvi withdraw
pp with
pn22 you
: :
q-crq why
vdb do
pn22 you
vvi go
a-acp about
pc-acp to
vvi recover
dt the
n1 wind
pp-f of
pno11 me
, ,
c-acp as
cs if
pn22 you
vmd would
vvi drive
pno11 me
pp into
dt a
n1 toil
? ?
uh O
, ,
po11 my
n1 lord
, ,
cs if
po11 my
n1 duty
vbb be
av too
j bold
, ,
po11 my
n1 love
vbz is
av too
j unmannerly
. .
pns11 I
vdb do
xx not
av well
vvi understand
d that
. .
vmb Will
pn22 you
vvi play
p-acp upon
d this
n1 pipe
? ?
po11 My
n1 lord
, ,
pns11 I
vmbx cannot
. .
pns11 I
vvb pray
pn22 you
. .
vvb Believe
pno11 me
, ,
pns11 I
vmbx cannot
. .
pns11 I
vdb do
vvi beseech
pn22 you
. .
pns11 I
vvb know
dx no
n1 touch
pp-f of
pn31 it
, ,
po11 my
n1 lord
. .
pn31 It
vbz is
a-acp as
j easy
c-acp as
vvg lying
: :
vvb govern
d these
n2 ventages
pp with
po22 your
n2 fingers
cc and
n1 thumb
, ,
vvb give
pn31 it
n1 breath
pp with
po22 your
n1 mouth
, ,
cc and
pn31 it
vmb will
vvi discourse
av-ds most
j eloquent
n1 music
. .
vvb Look
pn22 you
, ,
d these
vbb are
dt the
n2 stops
. .
cc-acp But
d these
vmbx cannot
pns11 I
vvi command
p-acp to
d any
n1 utterance
pp-f of
n1 harmony
; ;
pns11 I
vhb have
xx not
dt the
n1 skill
. .
uh-crq Why
, ,
vvb look
pn22 you
av now
, ,
c-crq how
j unworthy
dt a
n1 thing
pn22 you
vvb make
pp-f of
pno11 me
! !
pn22 You
vmd would
vvi play
p-acp upon
pno11 me
; ;
pn22 you
vmd would
vvi seem
pc-acp to
vvi know
po11 my
n2 stops
; ;
pn22 you
vmd would
vvi pluck
av out
dt the
n1 heart
pp-f of
po11 my
n1 mystery
; ;
pn22 you
vmd would
vvi sound
pno11 me
pp from
po11 my
js lowest
n1 note
p-acp to
dt the
n1 top
pp-f of
po11 my
n1 compass
: :
cc and
pc-acp there
vbz is
d much
n1 music
, ,
j excellent
n1 voice
, ,
p-acp in
d this
j little
n1 organ
; ;
av yet
vmbx cannot
pn22 you
vvi make
pn31 it
vvi speak
. .
uh 'Sblood
, ,
vdb do
pn22 you
vvi think
pns11 I
vbm am
jc easier
pc-acp to
vbi be
vvn played
p-acp on
cs than
dt a
n1 pipe
? ?
vvb Call
pno11 me
r-crq what
n1 instrument
pn22 you
vmb will
, ,
c-acp though
pn22 you
vvb fret
pno11 me
, ,
av yet
pn22 you
vmbx cannot
vvi play
p-acp upon
pno11 me
. .
np1 God
vvb bless
pn22 you
, ,
n1 sir
! !
po11 My
n1 lord
, ,
dt the
n1 queen
vmd would
vvi speak
pp with
pn22 you
, ,
cc and
av-j presently
. .
vdb Do
pn22 you
vvi see
av-d yonder
n1 cloud
cst|vbz that's
av almost
p-acp in
n1 shape
pp-f of
dt a
n1 camel
? ?
p-acp By
dt the
n1 mass
, ,
cc and
pn31|vbz 'tis
av-j like
dt a
n1 camel
, ,
av indeed
. .
vvz Methinks
pn31 it
vbz is
av-j like
dt a
n1 weasel
. .
pn31 It
vbz is
vvn backed
av-j like
dt a
n1 weasel
. .
cc Or
av-j like
dt a
n1 whale
? ?
av Very
av-j like
dt a
n1 whale
. .
av Then
pns11 I
vmb will
vvi come
p-acp to
po11 my
n1 mother
p-acp by
cc and
p-acp by
. .
pns32 They
vvi fool
pno11 me
p-acp to
dt the
n1 top
pp-f of
po11 my
n1 bent
. .
pns11 I
vmb will
vvi come
p-acp by
cc and
p-acp by
. .
pns11 I
vmb will
vvi say
av so
. .
p-acp By
cc and
p-acp by
vbz is
av-j easily
vvn said
. .
vvb Leave
pno11 me
, ,
n2 friends
. .
pn31|vbz 'Tis
av now
dt the
j very
j-vvg witching
n1 time
pp-f of
n1 night
, ,
c-crq When
n2 churchyards
vvb yawn
cc and
n1 hell
px31 itself
vvz breathes
av out
n1 Contagion
p-acp to
d this
n1 world
: :
av now
vmd could
pns11 I
vvi drink
j hot
n1 blood
, ,
cc And
vdb do
d such
j bitter
n1 business
c-acp as
dt the
n1 day
vmd Would
n1 quake
pc-acp to
vvi look
a-acp on
. .
j Soft
! !
av now
p-acp to
po11 my
n1 mother
. .
uh O
n1 heart
, ,
vvb lose
xx not
po21 thy
n1 nature
; ;
vvb let
xx not
av ever
dt The
n1 soul
pp-f of
np1 Nero
vvb enter
d this
j firm
n1 bosom
: :
vvb Let
pno11 me
vbi be
j cruel
, ,
xx not
j unnatural
: :
pns11 I
vmb will
vvi speak
n2 daggers
p-acp to
pno31 her
, ,
cc-acp but
vvi use
pix none
; ;
po11 My
n1 tongue
cc and
n1 soul
p-acp in
d this
vbb be
n2 hypocrites
; ;
c-crq How
p-acp in
po11 my
n2 words
av soever
pns31 she
vbb be
vvn shent
, ,
pc-acp To
vvi give
pno32 them
n2 seals
av-x never
, ,
po11 my
n1 soul
, ,
vvb consent
! !
pns11 I
vvb like
pno31 him
xx not
, ,
ccx nor
vvz stands
pn31 it
j safe
pp with
pno12 us
pc-acp To
vvi let
po31 his
n1 madness
vvi range
. .
av Therefore
vvb prepare
pn22 you
; ;
pns11 I
po22 your
n1 commission
vmb will
av forthwith
vvi dispatch
, ,
cc And
pns31 he
p-acp to
np1 England
vmb shall
a-acp along
pp with
pn22 you
: :
dt The
n2 terms
pp-f of
po12 our
n1 estate
vmb may
xx not
vvi endure
n1 Hazard
av so
av-j|pno12 near's
c-acp as
vdz doth
av-j hourly
vvi grow
av Out
pp-f of
po31 his
n2 brows
. .
pns12 We
vmb will
px12 ourselves
vvi provide
: :
d Most
j holy
cc and
j religious
n1 fear
pn31 it
vbz is
pc-acp To
vvi keep
d those
d many
d many
n2 bodies
j safe
cst That
vvb live
cc and
vvb feed
p-acp upon
po22 your
n1 majesty
. .
dt The
j single
cc and
j peculiar
n1 life
vbz is
vvn bound
, ,
pp With
d all
dt the
n1 strength
cc and
n1 armour
pp-f of
dt the
n1 mind
, ,
pc-acp To
vvi keep
px31 itself
pp from
n1 noyance
; ;
cc-acp but
d much
dc more
d That
n1 spirit
p-acp upon
r-crq whose
n1 weal
vvz depends
cc and
vvz rests
dt The
n2 lives
pp-f of
d many
. .
dt The
n1 cess
pp-f of
n1 majesty
vvz Dies
xx not
av-j alone
; ;
cc-acp but
, ,
av-j like
dt a
n1 gulf
, ,
vdz doth
vvi draw
q-crq|vbz What's
av-j near
pn31 it
pp with
pn31 it
; ;
cc or
pn31 it
vbz is
dt a
j massy
n1 wheel
, ,
vvn Fixed
p-acp on
dt the
n1 summit
pp-f of
dt the
js highest
n1 mount
, ,
p-acp To
r-crq whose
j huge
n2 spokes
crd ten
crd thousand
dc lesser
n2 things
vbb Are
vvn mortised
cc and
vvn adjoined
; ;
r-crq which
, ,
c-crq when
pn31 it
vvz falls
, ,
d Each
j small
n1 annexment
, ,
j petty
n1 consequence
, ,
vvz Attends
dt the
j boisterous
n1 ruin
. .
av-x Never
j alone
vdd Did
dt the
n1 king
vvi sigh
, ,
cc-acp but
pp with
dt a
j general
n1 groan
. .
vvb Arm
pn22 you
, ,
pns11 I
vvb pray
pn22 you
, ,
p-acp to
d this
j speedy
n1 voyage
; ;
c-acp For
pns12 we
vmb will
n2 fetters
vvi put
p-acp about
d this
n1 fear
, ,
r-crq Which
av now
vvz goes
av too
j free-footed
. .
pns12 We
vmb will
vvi haste
pno12 us
. .
po11 My
n1 lord
, ,
pns31|vbz he's
vvg going
p-acp to
po31 his
ng1 mother's
n1 closet
: :
p-acp Behind
dt the
n1 arras
pns11|vmb I'll
vvi convey
px11 myself
, ,
pc-acp To
vvi hear
dt the
n1 process
; ;
pns11|vmb I'll
vvi warrant
pns31|vmb she'll
vvi tax
pno31 him
av-an home
: :
cc And
, ,
c-acp as
pn22 you
vvd said
, ,
cc and
av-j wisely
vbd was
pn31 it
vvn said
, ,
pn31|vbz 'Tis
j meet
cst that
d some
dc more
n1 audience
cs than
dt a
n1 mother
, ,
c-acp Since
n1 nature
vvz makes
pno32 them
j partial
, ,
vmd should
vvi o'erhear
dt The
n1 speech
, ,
pp-f of
n1 vantage
. .
vvb Fare
pn22 you
av well
, ,
po11 my
n1 liege
: :
pns11|vmb I'll
vvi call
p-acp upon
pn22 you
c-acp ere
pn22 you
vvb go
p-acp to
n1 bed
, ,
cc And
vvb tell
pn22 you
r-crq what
pns11 I
vvb know
. .
n2 Thanks
, ,
j-jn dear
po11 my
n1 lord
. .
uh O
, ,
po11 my
n1 offence
vbz is
j rank
, ,
pn31 it
vvz smells
p-acp to
n1 heaven
; ;
pn31 It
vhz hath
dt the
j primal
js eldest
n1 curse
p-acp|pn31 upon't
, ,
dt A
ng1 brother's
n1 murder
. .
vvi Pray
vmb can
pns11 I
xx not
, ,
c-acp Though
n1 inclination
vbb be
a-acp as
j sharp
c-acp as
n1 will
: :
po11 My
jc stronger
n1 guilt
vvz defeats
po11 my
j strong
n1 intent
; ;
cc And
, ,
av-j like
dt a
n1 man
p-acp to
j double
n1 business
vvn bound
, ,
pns11 I
vvb stand
p-acp in
n1 pause
c-crq where
pns11 I
vmb shall
ord first
vvi begin
, ,
cc And
d both
vvb neglect
. .
r-crq What
cs if
d this
j-vvn cursed
n1 hand
vbd Were
jc thicker
cs than
px31 itself
pp with
ng1 brother's
n1 blood
, ,
vbz Is
pc-acp there
xx not
n1 rain
av-d enough
p-acp in
dt the
j sweet
n2 heavens
pc-acp To
vvi wash
pn31 it
j-jn white
c-acp as
n1 snow
? ?
c-crq Whereto
vvz serves
n1 mercy
cc-acp But
pc-acp to
vvi confront
dt the
n1 visage
pp-f of
n1 offence
? ?
cc And
q-crq|vbz what's
p-acp in
n1 prayer
p-acp but
d this
j twofold
n1 force
, ,
pc-acp To
vbi be
vvn forestalled
c-acp ere
pns12 we
vvb come
pc-acp to
vvi fall
, ,
cc Or
vvn pardoned
vbg being
a-acp down
? ?
av Then
pns11|vmb I'll
vvi look
a-acp up
; ;
po11 My
n1 fault
vbz is
j past
. .
cc-acp But
, ,
uh O
, ,
q-crq what
n1 form
pp-f of
n1 prayer
vmb Can
vvi serve
po11 my
n1 turn
? ?
“ “
vvb Forgive
pno11 me
po11 my
j foul
n1 murder
” ”
? ?
d That
vmbx cannot
vbi be
; ;
c-acp since
pns11 I
vbm am
av still
vvn possessed
pp-f Of
d those
n2 effects
p-acp for
r-crq which
pns11 I
vdd did
dt the
n1 murder
, ,
po11 My
n1 crown
, ,
po11 mine
d own
n1 ambition
cc and
po11 my
n1 queen
. .
vmb May
pi one
vbi be
vvn pardoned
cc and
vvi retain
dt the
n1 offence
? ?
p-acp In
dt the
j-vvn corrupted
n2 currents
pp-f of
d this
n1 world
ng1 Offence's
j-vvn gilded
n1 hand
vmb may
vvi shove
p-acp by
n1 justice
, ,
cc And
av oft
pn31|vbz 'tis
vvn seen
dt the
j wicked
n1 prize
px31 itself
vvz Buys
av out
dt the
n1 law
: :
cc-acp but
pn31|vbz 'tis
xx not
av so
a-acp above
; ;
pc-acp There
vbz is
dx no
n-vvg shuffling
, ,
a-acp there
dt the
n1 action
vvz lies
p-acp In
po31 his
j true
n1 nature
; ;
cc and
pns12 we
px12 ourselves
vvn compelled
, ,
av-j Even
p-acp to
dt the
n2 teeth
cc and
n1 forehead
pp-f of
po12 our
n2 faults
, ,
pc-acp To
vvi give
p-acp in
n1 evidence
. .
q-crq What
av then
? ?
q-crq what
vvz rests
? ?
vvb Try
r-crq what
n1 repentance
vmb can
: :
q-crq what
vmb can
pn31 it
xx not
? ?
av Yet
q-crq what
vmb can
pn31 it
c-crq when
pi one
vmb can
xx not
vvi repent
? ?
uh O
j wretched
n1 state
! !
uh O
n1 bosom
j-jn black
c-acp as
n1 death
! !
uh O
j-vvn limed
n1 soul
, ,
cst that
, ,
vvg struggling
pc-acp to
vbi be
j free
, ,
vb2 Art
av-dc more
vvn engaged
! !
vvb Help
, ,
n2 angels
! !
vvb Make
n1 assay
! !
vvb Bow
, ,
j stubborn
n2 knees
; ;
cc and
, ,
n1 heart
pp with
n2 strings
pp-f of
n1 steel
, ,
vbb Be
j soft
c-acp as
n2 sinews
pp-f of
dt the
j newborn
n1 babe
! !
d All
vmb may
vbi be
av well
. .
av Now
vmd might
pns11 I
vdi do
pn31 it
av pat
, ,
av now
pns31 'a
vbz is
vvg a-praying
; ;
cc And
av now
pns11|vmb I'll
vdi|pn31 do't
. .
cc And
av so
pns31 'a
vvz goes
p-acp to
n1 heaven
; ;
cc And
av so
vbm am
pns11 I
vvn revenged
. .
d That
vmd would
vbi be
vvn scanned
: :
dt A
n1 villain
vvz kills
po11 my
n1 father
; ;
cc and
p-acp for
d that
, ,
pns11 I
, ,
po31 his
j sole
n1 son
, ,
vdb do
d this
d same
n1 villain
vvi send
p-acp To
n1 heaven
. .
uh-crq Why
, ,
d this
vbz is
n1 hire
cc and
n1 salary
, ,
xx not
n1 revenge
. .
pns31 'A
vvd took
po11 my
n1 father
av-j grossly
, ,
j full
pp-f of
n1 bread
; ;
pp With
d all
po31 his
n2 crimes
j broad
vvn blown
, ,
a-acp as
av-j flush
c-acp as
np1 May
; ;
cc And
q-crq how
po31 his
n1 audit
vvz stands
q-crq who
vvz knows
p-acp save
n1 heaven
? ?
cc-acp But
p-acp in
po12 our
n1 circumstance
cc and
n1 course
pp-f of
n1 thought
. .
pn31|vbz 'Tis
j heavy
pp with
pno31 him
: :
cc and
vbm am
pns11 I
av then
vvn revenged
, ,
pc-acp To
vvi take
pno31 him
p-acp in
dt the
n-vvg purging
pp-f of
po31 his
n1 soul
, ,
c-crq When
pns31 he
vbz is
j fit
cc and
vvn seasoned
p-acp for
po31 his
n1 passage
? ?
uh-dx No
! !
a-acp Up
, ,
n1 sword
; ;
cc and
vvb know
pns21 thou
dt a
av-dc more
j horrid
n1 hent
: :
c-crq When
pns31 he
vbz is
vvn drunk
j asleep
, ,
cc or
p-acp in
po31 his
n1 rage
, ,
cc Or
p-acp in
dt the
j incestuous
n1 pleasure
pp-f of
po31 his
n1 bed
; ;
pp At
n1 game
, ,
vvg a-swearing
, ,
cc or
p-acp about
d some
n1 act
cst That
vhz has
dx no
n1 relish
pp-f of
n1 salvation
p-acp|pn31 in't
; ;
av Then
vvb trip
pno31 him
, ,
cst that
po31 his
n2 heels
vmb may
vvi kick
pp at
n1 heaven
, ,
cc And
cst that
po31 his
n1 soul
vmb may
vbi be
a-acp as
vvn damned
cc and
j-jn black
c-acp As
n1 hell
, ,
c-crq whereto
pn31 it
vvz goes
. .
po11 My
n1 mother
vvz stays
: :
d This
n1 physic
p-acp but
vvz prolongs
po21 thy
j sickly
n2 days
. .
po11 My
n2 words
vvb fly
a-acp up
, ,
po11 my
n2 thoughts
vvb remain
a-acp below
: :
n2 Words
p-acp without
n2 thoughts
av-x never
p-acp to
n1 heaven
vvb go
. .
pns31 'A
vmb will
vvi come
av-j straight
. .
vvb Look
pn22 you
vvb lay
av-an home
p-acp to
pno31 him
: :
vvb Tell
pno31 him
po31 his
n2 pranks
vhb have
vbn been
av too
j broad
pc-acp to
vvi bear
pp with
, ,
cc And
cst that
po22 your
n1 grace
vhz hath
vvn screened
cc and
vvn stood
p-acp between
d Much
n1 heat
cc and
pno31 him
. .
pns11|vmb I'll
vvi silence
pno11 me
av-j even
av here
. .
vvb Pray
pn22 you
, ,
vbb be
av-j round
. .
pns11|vmb I'll
vvi warrant
pn22 you
, ,
vvb fear
pno11 me
xx not
. .
vvb Withdraw
, ,
pns11 I
vvb hear
pno31 him
vvg coming
. .
av Now
, ,
n1 mother
, ,
q-crq|vbz what's
dt the
n1 matter
? ?
np1 Hamlet
, ,
pns21 thou
vh2 hast
po21 thy
n1 father
av-d much
vvn offended
. .
n1 Mother
, ,
pn22 you
vhb have
po11 my
n1 father
av-d much
vvn offended
. .
vvb Come
, ,
vvb come
, ,
pn22 you
vvb answer
pp with
dt an
j idle
n1 tongue
. .
vvb Go
, ,
vvb go
, ,
pn22 you
vvb question
pp with
dt a
j wicked
n1 tongue
. .
uh-crq Why
, ,
uh-crq how
av now
, ,
np1 Hamlet
! !
q-crq|vbz What's
dt the
n1 matter
av now
? ?
vhb Have
pn22 you
vvn forgot
pno11 me
? ?
uh-dx No
, ,
p-acp by
dt the
n1 rood
, ,
xx not
av so
: :
pn22 You
vbb are
dt the
n1 queen
, ,
po22 your
ng1 husband's
ng1 brother's
n1 wife
; ;
cc And
— —
vmd would
pn31 it
vbd were
xx not
av so
! !
— —
pn22 you
vbb are
po11 my
n1 mother
. .
uh Nay
, ,
av then
, ,
pns11|vmb I'll
vvi set
d those
p-acp to
pn22 you
cst that
vmb can
vvi speak
. .
vvb Come
, ,
vvb come
, ,
cc and
vvb sit
pn22 you
a-acp down
; ;
pn22 you
vmb shall
xx not
vvi budge
; ;
pn22 You
vvb go
xx not
c-acp till
pns11 I
vvb set
pn22 you
a-acp up
dt a
n1 glass
c-crq Where
pn22 you
vmb may
vvi see
dt the
j inmost
n1 part
pp-f of
pn22 you
. .
q-crq What
vm2 wilt
pns21 thou
vdi do
? ?
pns21 thou
vm2 wilt
xx not
vvi murder
pno11 me
? ?
vvb Help
, ,
uh ho
! !
q-crq What
, ,
uh ho
! !
vvb help
! !
uh-crq How
av now
! !
dt a
n1 rat
? ?
j Dead
, ,
p-acp for
dt a
n1 ducat
, ,
j dead
! !
uh O
, ,
pns11 I
vbm am
vvn slain
! !
uh O
pno11 me
, ,
q-crq what
vh2 hast
pns21 thou
vdn done
? ?
uh Nay
, ,
pns11 I
vvb know
xx not
: :
vbz Is
pn31 it
dt the
n1 king
? ?
uh O
, ,
q-crq what
dt a
j rash
cc and
j bloody
n1 deed
vbz is
d this
! !
dt A
j bloody
n1 deed
! !
av almost
a-acp as
j bad
, ,
j good
n1 mother
, ,
a-acp As
vvb kill
dt a
n1 king
, ,
cc and
vvb marry
pp with
po31 his
n1 brother
. .
a-acp As
vvb kill
dt a
n1 king
! !
uh Ay
, ,
n1 lady
, ,
pn31 it
vbd was
po11 my
n1 word
. .
pns21 Thou
j wretched
, ,
j rash
, ,
j-vvg intruding
n1 fool
, ,
uh-n farewell
! !
pns11 I
vvd took
pno21 thee
p-acp for
po21 thy
jc better
: :
vvb take
po21 thy
n1 fortune
; ;
pns21 Thou
vv2 find'st
pc-acp to
vbi be
av too
j busy
vbz is
d some
n1 danger
. .
vvb Leave
n-vvg wringing
pp-f of
po22 your
n2 hands
: :
n1 peace
! !
vvb sit
pn22 you
a-acp down
, ,
cc And
vvb let
pno11 me
vvi wring
po22 your
n1 heart
; ;
p-acp for
av so
pns11 I
vmb shall
, ,
cs If
pn31 it
vbb be
vvn made
pp-f of
j penetrable
n1 stuff
, ,
cs If
j-vvn damned
n1 custom
vhb have
xx not
vvn brassed
pn31 it
av so
cst That
pn31 it
vbb be
n1 proof
cc and
n1 bulwark
pp against
n1 sense
. .
q-crq What
vhb have
pns11 I
vdn done
, ,
cst that
pns21 thou
vv2 darest
vvi wag
po21 thy
n1 tongue
p-acp In
n1 noise
av so
j rude
pp against
pno11 me
? ?
d Such
dt an
n1 act
cst That
vvz blurs
dt the
n1 grace
cc and
n1 blush
pp-f of
n1 modesty
, ,
vvz Calls
n1 virtue
n1 hypocrite
, ,
vvz takes
p-acp off
dt the
n1 rose
pp From
dt the
j fair
n1 forehead
pp-f of
dt an
j-jn innocent
n1 love
cc And
vvz sets
dt a
n1 blister
a-acp there
, ,
vvz makes
n1 marriage
n2 vows
a-acp As
j false
c-acp as
ng2 dicers'
n2 oaths
: :
uh O
, ,
d such
dt a
n1 deed
c-acp As
pp from
dt the
n1 body
pp-f of
n1 contraction
vvz plucks
dt The
j very
n1 soul
, ,
cc and
j sweet
n1 religion
vvz makes
dt A
n1 rhapsody
pp-f of
n2 words
: :
ng1 heaven's
n1 face
vdz does
vvi glow
p-acp o'er
d this
n1 solidity
cc and
n1 compound
n1 mass
, ,
pp With
j-vvn heated
n1 visage
, ,
c-acp as
pp against
dt the
n1 doom
, ,
vbz Is
j thought-sick
pp at
dt the
n1 act
. .
uh Ay
pno11 me
, ,
q-crq what
n1 act
, ,
cst That
vvz roars
av so
av-j loud
, ,
cc and
vvz thunders
p-acp in
dt the
n1 index
? ?
vvb Look
av here
, ,
p-acp upon
d this
n1 picture
, ,
cc and
p-acp on
d this
, ,
dt The
n1 counterfeit
n1 presentment
pp-f of
crd two
n2 brothers
. .
vvb See
, ,
q-crq what
dt a
n1 grace
vbd was
vvn seated
p-acp on
d this
n1 brow
; ;
npg1 Hyperion's
n2 curls
; ;
dt the
n1 front
pp-f of
np1 Jove
px31 himself
; ;
dt An
n1 eye
av-j like
np1 Mars
, ,
pc-acp to
vvi threaten
cc and
vvi command
; ;
dt A
n1 station
av-j like
dt the
n1 herald
np1 Mercury
j New
vvn lighted
p-acp on
dt a
j heaven-kissing
n1 hill
; ;
dt A
n1 combination
cc and
dt a
n1 form
av indeed
, ,
c-crq Where
d every
n1 god
vdd did
vvi seem
pc-acp to
vvi set
po31 his
n1 seal
, ,
pc-acp To
vvi give
dt the
n1 world
n1 assurance
pp-f of
dt a
n1 man
: :
d This
vbd was
po22 your
n1 husband
. .
vvb Look
pn22 you
av now
, ,
q-crq what
vvz follows
: :
av Here
vbz is
po22 your
n1 husband
; ;
av-j like
dt a
j-vvn mildewed
n1 ear
, ,
vvg Blasting
po31 his
j wholesome
n1 brother
. .
vhb Have
pn22 you
n2 eyes
? ?
vmd Could
pn22 you
p-acp on
d this
j fair
n1 mountain
vvi leave
pc-acp to
vvi feed
, ,
cc And
vvi batten
p-acp on
d this
n1 moor
? ?
uh Ha
! !
vhb have
pn22 you
n2 eyes
? ?
pn22 You
vmbx cannot
vvi call
pn31 it
n1 love
; ;
p-acp for
pp at
po22 your
n1 age
dt The
n1 hey-day
p-acp in
dt the
n1 blood
vbz is
j tame
, ,
pn31|vbz it's
j humble
, ,
cc And
vvz waits
p-acp upon
dt the
n1 judgement
: :
cc and
q-crq what
n1 judgement
vmd Would
vvi step
pp from
d this
p-acp to
d this
? ?
n1 Sense
, ,
av-j sure
, ,
pn22 you
vhb have
, ,
av Else
vmd could
pn22 you
xx not
vhi have
n1 motion
; ;
cc-acp but
av-j sure
, ,
cst that
n1 sense
vbz Is
j apoplexed
; ;
p-acp for
n1 madness
vmd would
xx not
vvi err
, ,
ccx Nor
n1 sense
p-acp to
n1 ecstasy
vbd was
av-x ne'er
av so
vvn thralled
cc-acp But
pn31 it
vvd reserved
d some
n1 quantity
pp-f of
n1 choice
, ,
pc-acp To
vvi serve
p-acp in
d such
dt a
n1 difference
. .
q-crq What
n1 devil
vbd|pn31 was't
cst That
av thus
vhz hath
vvn cozened
pn22 you
pp at
n1 hoodman-blind
? ?
n2 Eyes
p-acp without
vvg feeling
, ,
vvg feeling
p-acp without
n1 sight
, ,
n2 Ears
p-acp without
n2 hands
cc or
n2 eyes
, ,
vvg smelling
pp sans
av-d all
, ,
cc Or
p-acp but
dt a
j sickly
n1 part
pp-f of
crd one
j true
n1 sense
vmd Could
xx not
av so
vvi mope
. .
uh O
n1 shame
! !
c-crq where
vbz is
po21 thy
n1 blush
? ?
j Rebellious
n1 hell
, ,
cs If
pns21 thou
vm2 canst
vvi mutine
p-acp in
dt a
ng1 matron's
n2 bones
, ,
p-acp To
j-vvg flaming
n1 youth
vvb let
n1 virtue
vbi be
p-acp as
n1 wax
, ,
cc And
vvb melt
p-acp in
po31 her
d own
n1 fire
: :
vvb proclaim
dx no
n1 shame
c-crq When
dt the
j compulsive
n1 ardour
vvz gives
dt the
n1 charge
, ,
c-acp Since
n1 frost
px31 itself
a-acp as
av-j actively
vdz doth
vvi burn
cc And
n1 reason
vvz panders
n1 will
. .
uh O
np1 Hamlet
, ,
vvb speak
av-dx no
av-dc more
: :
pns21 Thou
vv2 turn'st
po11 my
n2 eyes
pp into
po11 my
j very
n1 soul
; ;
cc And
a-acp there
pns11 I
vvb see
d such
j-jn black
cc and
vvn grained
n2 spots
c-acp As
vmb will
xx not
vvi leave
po32 their
n1 tinct
. .
uh Nay
, ,
cc-acp but
pc-acp to
vvi live
p-acp In
dt the
j rank
n1 sweat
pp-f of
dt an
j-vvn enseamed
n1 bed
, ,
vvn Stewed
p-acp in
n1 corruption
, ,
vvg honeying
cc and
vvg making
n1 love
p-acp Over
dt the
j nasty
n1 sty
, ,
uh O
, ,
vvb speak
p-acp to
pno11 me
av-dx no
dc more
; ;
d These
n2 words
, ,
av-j like
n2 daggers
, ,
vvb enter
p-acp in
po11 my
n2 ears
; ;
av-dx No
av-dc more
, ,
j sweet
np1 Hamlet
! !
dt A
n1 murderer
cc and
dt a
n1 villain
; ;
dt A
n1 slave
cst that
vbz is
xx not
ord twentieth
n1 part
dt the
n1 tithe
pp-f Of
po22 your
j precedent
n1 lord
; ;
dt a
n1 vice
pp-f of
n2 kings
; ;
dt A
n1 cutpurse
pp-f of
dt the
n1 empire
cc and
dt the
n1 rule
, ,
cst That
pp from
dt a
n1 shelf
dt the
j precious
n1 diadem
vvd stole
, ,
cc And
vvd put
pn31 it
p-acp in
po31 his
n1 pocket
! !
av-dx No
av-dc more
! !
dt A
n1 king
pp-f of
n2 shreds
cc and
n2 patches
, ,
vvb Save
pno11 me
, ,
cc and
vvb hover
p-acp o'er
pno11 me
pp with
po22 your
n2 wings
, ,
pn22 You
j heavenly
n2 guards
! !
q-crq What
vmd would
po22 your
j gracious
n1 figure
? ?
uh Alas
, ,
pns31|vbz he's
j mad
! !
vdb Do
pn22 you
xx not
vvi come
po22 your
j tardy
n1 son
pc-acp to
vvi chide
, ,
d That
, ,
vvn lapsed
p-acp in
n1 time
cc and
n1 passion
, ,
vvz lets
vvi go
a-acp by
dt The
j important
n-vvg acting
pp-f of
po22 your
n1 dread
n1 command
? ?
uh O
, ,
vvb say
! !
vdb Do
xx not
vvi forget
: :
d this
n1 visitation
vbz Is
p-acp but
pc-acp to
vvi whet
po21 thy
av almost
j-vvn blunted
n1 purpose
. .
cc-acp But
, ,
vvb look
, ,
n1 amazement
p-acp on
po21 thy
n1 mother
vvz sits
: :
uh O
, ,
vvb step
p-acp between
pno31 her
cc and
po31 her
j-vvg fighting
n1 soul
: :
n1 Conceit
p-acp in
js weakest
n2 bodies
js strongest
vvz works
: :
vvb Speak
p-acp to
pno31 her
, ,
np1 Hamlet
. .
q-crq How
vbz is
pn31 it
pp with
pn22 you
, ,
n1 lady
? ?
uh Alas
, ,
q-crq how
vbz|pn31 is't
pp with
pn22 you
, ,
cst That
pn22 you
vdb do
vvi bend
po22 your
n1 eye
p-acp on
n1 vacancy
cc And
pp with
dt the
j incorporal
n1 air
vdb do
vvi hold
n1 discourse
? ?
av Forth
pp at
po22 your
n2 eyes
po22 your
n2 spirits
av-j wildly
vvb peep
; ;
cc And
, ,
c-acp as
dt the
j-vvg sleeping
n2 soldiers
p-acp in
dt the
